PK,Product,Quantity,yymm
1,B3,0,202008
2,B4,0,202008
3,B5,0,202008
4,B6,0,202008
5,B7,0,202008
6,B8,0,202008
7,B9,0,202008
8,B10,0,202008
9,B11,0,202008
10,B12,0,202008
11,B13,0,202008
12,B14,0,202008
13,B15,0,202008
14,B16,0,202008
15,B17,0,202008
16,B18,0,202008
17,B19,0,202008
18,B20,0,202008
19,B25,0,202008
20,B27,0,202008
21,B30,0,202008
22,B54,167,202008
23,B60,60,202008
24,B63,383,202008
25,B64,88,202008
26,B65,22,202008
27,B66,7,202008
28,B67,0,202008
29,B69,13,202008
30,B70,49,202008
31,B71,56,202008
32,B72,0,202008
33,B73,0,202008
34,B74,0,202008
35,B75,33,202008
36,B76,0,202008
37,B77,198,202008
38,B78,0,202008
39,B81,0,202008
40,B83,1,202008
41,B85,26,202008
42,B86,0,202008
43,B88,0,202008
44,B89,0,202008
45,B90,0,202008
46,B91,0,202008
47,B92,0,202008
48,B93,0,202008
49,B94,105,202008
50,B95,0,202008
51,B96,0,202008
52,B97,0,202008
53,B98,0,202008
54,B99,0,202008
55,B100,0,202008
56,B101,0,202008
57,B102,0,202008
58,B103,104,202008
59,B104,0,202008
60,B105,0,202008
61,B106,0,202008
62,B107,0,202008
63,B108,0,202008
64,B113,0,202008
65,B114,66,202008
66,B115,0,202008
67,B116,0,202008
68,B117,0,202008
69,B118,0,202008
70,B119,67,202008
71,B120,0,202008
72,B121,0,202008
73,B122,0,202008
74,B123,0,202008
75,B124,0,202008
76,B125,0,202008
77,B126,0,202008
78,B127,0,202008
79,B128,0,202008
80,B129,0,202008
81,B130,0,202008
82,B131,0,202008
83,B132,0,202008
84,B133,0,202008
85,B134,0,202008
86,B135,0,202008
87,B136,0,202008
88,B137,76,202008
89,B138,0,202008
90,B139,0,202008
91,B140,0,202008
92,B141,0,202008
93,B142,237,202008
94,B143,43,202008
95,B146,0,202008
96,B147,9,202008
97,B152,187,202008
98,B153,110,202008
99,B154,0,202008
100,B155,0,202008
101,B156,0,202008
102,B157,0,202008
103,B158,29,202008
104,B159,181,202008
105,B160,0,202008
106,B161,0,202008
107,B162,0,202008
108,B163,0,202008
109,B164,0,202008
110,B165,0,202008
111,B166,0,202008
112,B167,0,202008
113,B168,165,202008
114,B169,0,202008
115,B170,0,202008
116,B171,0,202008
117,B172,0,202008
118,B173,0,202008
119,B174,0,202008
120,B175,0,202008
121,B176,0,202008
122,B177,0,202008
123,B178,19,202008
124,B179,0,202008
125,B180,87,202008
126,B182,0,202008
127,B185,89,202008
128,B186,21,202008
129,B188,90,202008
130,B189,0,202008
